,position,token,information_gain,total_ocurences,total_flaky_occurences,total_nonflaky_occurences
131,131,toHaveClass,2.284696048926319e-05,44,0,44
132,132,cheerio,2.232515144323828e-05,43,0,43
133,133,if,2.232515144323633e-05,43,0,43
134,134,length,2.2325151443235462e-05,43,0,43
135,135,modalEl,2.232515144323004e-05,43,0,43
136,136,'FOO',2.180346222539829e-05,42,0,42
137,137,e,2.1803462225392653e-05,42,0,42
138,138,fetchViaHTTP,2.1281892786091747e-05,41,0,41
139,139,undefined,2.1281892786090663e-05,41,0,41
140,140,el,2.1281892786086543e-05,41,0,41
141,141,'show',2.076044306881979e-05,40,0,40
142,142,'b',2.0760443068818272e-05,40,0,40
143,143,body,2.0760443068815887e-05,40,0,40
144,144,href,2.076044306881372e-05,40,0,40
145,145,props,2.0760443068813068e-05,40,0,40
146,146,3,2.0239113020796735e-05,39,0,39
147,147,meta,2.0239113020796302e-05,39,0,39
148,148,existingTags,2.023911302079435e-05,39,0,39
149,149,toBeNull,2.0239113020793266e-05,39,0,39
150,150,reject,1.971790258063072e-05,38,0,38
151,151,let,1.919681169943138e-05,37,0,37
152,152,content,1.919681169942661e-05,37,0,37
153,153,observable,1.9196811699426393e-05,37,0,37
154,154,null,1.9196811699424875e-05,37,0,37
155,155,fetch,1.8675840324956436e-05,36,0,36
156,156,toBeTruthy,1.8154988394635495e-05,35,0,35
157,157,"
                        ",1.8154988394629206e-05,35,0,35
158,158,$2,1.763425586013374e-05,34,0,34
159,159,b,1.7634255860130487e-05,34,0,34
160,160,model,1.7634255860128536e-05,34,0,34
161,161,target,1.711364266276244e-05,33,0,33
162,162,t,1.711364266276114e-05,33,0,33
163,163,spyOn,1.7113642662760272e-05,33,0,33
164,164,toHaveBeenCalled,1.7113642662760272e-05,33,0,33
165,165,input,1.7113642662755068e-05,33,0,33
166,166,events,1.6593148747525007e-05,32,0,32
167,167,expected,1.6593148747522622e-05,32,0,32
168,168,child,1.6072774061395064e-05,31,0,31
169,169,42,1.6072774061394414e-05,31,0,31
170,170,p,1.6072774061392896e-05,31,0,31
171,171,string,1.607277406139203e-05,31,0,31
172,172,'bar',1.5552518551502576e-05,30,0,30
173,173,offCanvasEl,1.5552518551502576e-05,30,0,30
174,174,offCanvas,1.5552518551500407e-05,30,0,30
175,175,'',1.5552518551498022e-05,30,0,30
176,176,file,1.5032382161676329e-05,29,0,29
177,177,ev,1.5032382161675462e-05,29,0,29
178,178,parent,1.4512364835917932e-05,28,0,28
179,179,A,1.451236483591533e-05,28,0,28
180,180,style,1.451236483591468e-05,28,0,28
181,181,paths,1.4512364835912728e-05,28,0,28
182,182,src,1.399246652193458e-05,27,0,27
183,183,createMachine,1.399246652193046e-05,27,0,27
184,184,head,1.3992466521929809e-05,27,0,27
185,185,elementById,1.3992466521928508e-05,27,0,27
186,186,key,1.399246652192829e-05,27,0,27
187,187,food,1.3992466521927857e-05,27,0,27
188,188,attr,1.347268716232774e-05,26,0,26
189,189,'foo',1.3472687162322536e-05,26,0,26
190,190,slug,1.347268716232232e-05,26,0,26
191,191,m,1.2953026708727253e-05,25,0,25
192,192,toast,1.2953026708725085e-05,25,0,25
193,193,Machine,1.2953026708724651e-05,25,0,25
194,194,getInstance,1.2953026708724e-05,25,0,25
195,195,childMachine,1.2433485098817731e-05,24,0,24
196,196,join,1.2433485098817297e-05,24,0,24
197,197,children,1.2433485098814912e-05,24,0,24
198,198,page,1.2433485098813177e-05,24,0,24
199,199,collapse,1.2433485098812744e-05,24,0,24
200,200,i,1.2433485098812527e-05,24,0,24
201,201,rel,1.2433485098810792e-05,24,0,24
202,202,instance,1.1914062281056419e-05,23,0,23
203,203,Util,1.1914062281054684e-05,23,0,23
204,204,tagNodes,1.1914062281054467e-05,23,0,23
205,205,'active',1.191406228105425e-05,23,0,23
206,206,onDone,1.19140622810536e-05,23,0,23
207,207,entry,1.191406228105295e-05,23,0,23
208,208,'test',1.1914062281052299e-05,23,0,23
209,209,and,1.1914062281051432e-05,23,0,23
210,210,class,1.1914062281050781e-05,23,0,23
211,211,html2,1.1394758205864053e-05,22,0,22
212,212,parentMachine,1.1394758205864053e-05,22,0,22
213,213,trigger,1.1394758205862752e-05,22,0,22
214,214,patchFile,1.1394758205860367e-05,22,0,22
215,215,module,1.1394758205859716e-05,22,0,22
216,216,EventHandler,1.0875572811488814e-05,21,0,21
217,217,isAction,1.0875572811484477e-05,21,0,21
218,218,'c',1.0875572811484043e-05,21,0,21
219,219,render,1.0875572811484043e-05,21,0,21
220,220,_accept,1.0875572811483826e-05,21,0,21
221,221,100,1.0875572811482525e-05,21,0,21
222,222,renderViaHTTP,1.0356506050473438e-05,20,0,20
223,223,computed,1.0356506050471486e-05,20,0,20
224,224,'BAR',1.0356506050470619e-05,20,0,20
225,225,params,1.0356506050469751e-05,20,0,20
226,226,dispatchEvent,1.035650605046845e-05,20,0,20
227,227,that,9.837557866735616e-06,19,0,19
228,228,URL,9.837557866735399e-06,19,0,19
229,229,"
                            ",9.837557866735182e-06,19,0,19
230,230,sections,9.837557866734965e-06,19,0,19
231,231,getByTestId,9.837557866733881e-06,19,0,19
232,232,popover,9.837557866733881e-06,19,0,19
233,233,property,9.837557866733014e-06,19,0,19
234,234,route,9.837557866732797e-06,19,0,19
235,235,keydown,9.83755786673258e-06,19,0,19
236,236,tree,9.837557866731496e-06,19,0,19
237,237,values,9.837557866731279e-06,19,0,19
238,238,ReactDOM,9.837557866730628e-06,19,0,19
239,239,tab,9.837557866730628e-06,19,0,19
240,240,c,9.31872820084177e-06,18,0,18
241,241,callThrough,9.318728200841554e-06,18,0,18
242,242,assign,9.318728200840903e-06,18,0,18
243,243,cb,9.318728200839385e-06,18,0,18
244,244,toastEl,9.318728200838518e-06,18,0,18
245,245,scrollSpy,9.318728200838301e-06,18,0,18
246,246,matches,9.318728200838084e-06,18,0,18
247,247,have,9.318728200837434e-06,18,0,18
248,248,HELMET_ATTRIBUTE,9.318728200837217e-06,18,0,18
249,249,B,9.318728200836783e-06,18,0,18
250,250,an,9.318728200836133e-06,18,0,18
251,251,popoverEl,8.800017007669358e-06,17,0,17
252,252,start,8.800017007669358e-06,17,0,17
253,253,"
                    ",8.800017007668708e-06,17,0,17
254,254,makeObservable,8.800017007668491e-06,17,0,17
255,255,plugins,8.800017007668491e-06,17,0,17
256,256,'fileDir',8.800017007667407e-06,17,0,17
257,257,link,8.800017007666756e-06,17,0,17
258,258,Object,8.800017007665889e-06,17,0,17
259,259,collapseEl,8.800017007665889e-06,17,0,17
260,260,port,8.800017007665889e-06,17,0,17
261,261,expectLog,8.800017007664154e-06,17,0,17
262,262,json,8.281424226384447e-06,16,0,16
263,263,call,8.28142422638423e-06,16,0,16
264,264,err,8.281424226384013e-06,16,0,16
265,265,Ctx,8.281424226382712e-06,16,0,16
266,266,'h1',8.281424226382061e-06,16,0,16
267,267,lightMachine,8.281424226381628e-06,16,0,16
268,268,never,8.281424226381628e-06,16,0,16
269,269,components,8.28142422638076e-06,16,0,16
270,270,request,8.281424226380327e-06,16,0,16
271,271,button,8.281424226379893e-06,16,0,16
272,272,flushTracked,8.281424226379243e-06,16,0,16
273,273,element,7.762949801642851e-06,15,0,15
274,274,req,7.762949801640683e-06,15,0,15
275,275,toString,7.762949801640249e-06,15,0,15
276,276,deep,7.762949801640032e-06,15,0,15
277,277,be,7.762949801639598e-06,15,0,15
278,278,constructor,7.762949801639165e-06,15,0,15
279,279,message,7.762949801639165e-06,15,0,15
280,280,4,7.76294980163808e-06,15,0,15
281,281,isObservableProp,7.76294980163808e-06,15,0,15
282,282,testMachine,7.76294980163808e-06,15,0,15
283,283,Events,7.762949801637864e-06,15,0,15
284,284,FixtureTreeNode,7.762949801637213e-06,15,0,15
285,285,container,7.762949801637213e-06,15,0,15
286,286,requestAnimationFrame,7.762949801637213e-06,15,0,15
287,287,testEl,7.762949801637213e-06,15,0,15
288,288,manifest,7.2445936871166124e-06,14,0,14
289,289,firstTag,7.244593687115962e-06,14,0,14
290,290,toggle,7.244593687115962e-06,14,0,14
291,291,'final',7.244593687115745e-06,14,0,14
292,292,render$,7.244593687115745e-06,14,0,14
293,293,triggerDropdown,7.2445936871150945e-06,14,0,14
294,294,Tab,7.244593687114878e-06,14,0,14
295,295,'INC',7.24459368711401e-06,14,0,14
296,296,bound,7.24459368711401e-06,14,0,14
297,297,fixtureId,7.24459368711401e-06,14,0,14
298,298,'en',7.2445936871137935e-06,14,0,14
299,299,filePath,7.2445936871137935e-06,14,0,14
300,300,error,7.24459368711336e-06,14,0,14
301,301,'#page-data',7.244593687111625e-06,14,0,14
302,302,_element,7.244593687111625e-06,14,0,14
303,303,cosmosConfig,7.244593687111625e-06,14,0,14
304,304,'EVENT',6.72635582251932e-06,13,0,13
305,305,dropdownMenu,6.72635582251932e-06,13,0,13
306,306,files,6.72635582251932e-06,13,0,13
307,307,toBeDefined,6.72635582251932e-06,13,0,13
308,308,'  </div>',6.7263558225184525e-06,13,0,13
309,309,collapsedTree,6.7263558225184525e-06,13,0,13
310,310,getOrCreateInstance,6.7263558225184525e-06,13,0,13
311,311,requests,6.726355822517368e-06,13,0,13
312,312,flow,6.7263558225171514e-06,13,0,13
313,313,Modal,6.726355822516935e-06,13,0,13
314,314,map,6.726355822516501e-06,13,0,13
315,315,o,6.726355822516501e-06,13,0,13
316,316,Carousel,6.726355822516067e-06,13,0,13
317,317,Button,6.72635582251585e-06,13,0,13
318,318,twoState,6.72635582251585e-06,13,0,13
319,319,'fixture',6.726355822515417e-06,13,0,13
320,320,createEvent,6.726355822514549e-06,13,0,13
321,321,active,6.208236154831102e-06,12,0,12
322,322,waitFor,6.208236154831102e-06,12,0,12
323,323,'src',6.208236154829801e-06,12,0,12
324,324,options,6.208236154829801e-06,12,0,12
325,325,'green',6.208236154829584e-06,12,0,12
326,326,Offcanvas,6.20823615482915e-06,12,0,12
327,327,Toast,6.20823615482915e-06,12,0,12
328,328,Tooltip,6.20823615482915e-06,12,0,12
329,329,1000,6.208236154828933e-06,12,0,12
330,330,matchMultiDom,6.208236154828933e-06,12,0,12
331,331,prototype,6.208236154828933e-06,12,0,12
332,332,toBeFalse,6.208236154828933e-06,12,0,12
333,333,fs,6.2082361548285e-06,12,0,12
334,334,historyMachine,6.208236154828283e-06,12,0,12
335,335,offcanvas,6.208236154828283e-06,12,0,12
336,336,'#layout-data',6.208236154828066e-06,12,0,12
337,337,markup,6.208236154828066e-06,12,0,12
338,338,myProp,6.208236154827849e-06,12,0,12
339,339,'NEXT',6.208236154826982e-06,12,0,12
340,340,alert,6.208236154826982e-06,12,0,12
341,341,api,6.208236154826982e-06,12,0,12
342,342,d,6.208236154826982e-06,12,0,12
343,343,NEXT,5.6902346312075105e-06,11,0,11
344,344,deepMachine,5.6902346312075105e-06,11,0,11
345,345,description,5.6902346312075105e-06,11,0,11
346,346,origContent,5.6902346312075105e-06,11,0,11
347,347,rules,5.6902346312075105e-06,11,0,11
348,348,initialHtml,5.690234631207294e-06,11,0,11
349,349,arr,5.690234631206643e-06,11,0,11
350,350,Parent,5.690234631205993e-06,11,0,11
351,351,pageData,5.690234631205993e-06,11,0,11
352,352,'one',5.690234631205342e-06,11,0,11
353,353,10,5.690234631205342e-06,11,0,11
354,354,Dropdown,5.690234631205342e-06,11,0,11
355,355,bar,5.690234631205342e-06,11,0,11
356,356,focustrap,5.690234631205342e-06,11,0,11
357,357,scrollBar,5.690234631205342e-06,11,0,11
358,358,stringMatching,5.690234631205342e-06,11,0,11
359,359,countService,5.690234631205125e-06,11,0,11
360,360,width,5.690234631205125e-06,11,0,11
361,361,ScrollSpy,5.690234631204908e-06,11,0,11
362,362,__dirname,5.690234631204908e-06,11,0,11
363,363,countMachine,5.690234631204908e-06,11,0,11
364,364,jasmine,5.690234631204908e-06,11,0,11
365,365,'yes',5.6902346312046916e-06,11,0,11
366,366,Dashboard,5.6902346312046916e-06,11,0,11
367,367,Test,5.6902346312046916e-06,11,0,11
368,368,myAction,5.6902346312046916e-06,11,0,11
369,369,ontouchstart,5.6902346312046916e-06,11,0,11
370,370,set,5.6902346312046916e-06,11,0,11
371,371,toStrictEqual,5.6902346312046916e-06,11,0,11
372,372,called,5.690234631204258e-06,11,0,11
373,373,outerHTML,5.690234631204258e-06,11,0,11
374,374,'pass',5.6902346312033905e-06,11,0,11
375,375,layoutData,5.6902346312033905e-06,11,0,11
376,376,query,5.6902346312033905e-06,11,0,11
377,377,css,5.172351200763252e-06,10,0,10
378,378,joined,5.172351200763252e-06,10,0,10
379,379,language,5.172351200763252e-06,10,0,10
380,380,show,5.172351200763252e-06,10,0,10
381,381,use,5.172351200763252e-06,10,0,10
382,382,scheduler,5.1723512007623845e-06,10,0,10
383,383,Popover,5.172351200761734e-06,10,0,10
384,384,mobx,5.172351200761734e-06,10,0,10
385,385,tip,5.172351200761734e-06,10,0,10
386,386,toThrowErrorMatchingInlineSnapshot,5.172351200761734e-06,10,0,10
387,387,val,5.172351200761734e-06,10,0,10
388,388,'idle',5.1723512007613e-06,10,0,10
389,389,bodySize,5.1723512007613e-06,10,0,10
390,390,includes,5.1723512007613e-06,10,0,10
391,391,prop,5.1723512007613e-06,10,0,10
392,392,toBeTrue,5.1723512007613e-06,10,0,10
393,393,5,5.1723512007610835e-06,10,0,10
394,394,matchesState,5.1723512007610835e-06,10,0,10
395,395,script,5.1723512007610835e-06,10,0,10
396,396,setTimeout,5.17235120076065e-06,10,0,10
397,397,"'link[as=""font""]'",5.17235120076065e-06,10,0,10
398,398,counterMachine,5.17235120076065e-06,10,0,10
399,399,env,5.17235120076065e-06,10,0,10
400,400,res1,5.17235120076065e-06,10,0,10
401,401,toMatchInlineSnapshot,5.17235120076065e-06,10,0,10
402,402,invoke,5.172351200760433e-06,10,0,10
403,403,'image/png',5.172351200759999e-06,10,0,10
404,404,is,5.172351200759999e-06,10,0,10
405,405,report,5.172351200759999e-06,10,0,10
406,406,res3,5.172351200759999e-06,10,0,10
407,407,scrollspy,5.172351200759999e-06,10,0,10
408,408,textContent,5.172351200759999e-06,10,0,10
409,409,'p',4.654585805712085e-06,9,0,9
410,410,array,4.654585805712085e-06,9,0,9
411,411,hasOwnProperty,4.654585805712085e-06,9,0,9
412,412,super,4.654585805711434e-06,9,0,9
413,413,version,4.654585805711434e-06,9,0,9
414,414,"""description""",4.654585805711001e-06,9,0,9
415,415,'d',4.654585805711001e-06,9,0,9
416,416,counter,4.654585805711001e-06,9,0,9
417,417,height,4.654585805711001e-06,9,0,9
418,418,outputIndex,4.654585805711001e-06,9,0,9
419,419,testModel,4.654585805711001e-06,9,0,9
420,420,global,4.654585805710784e-06,9,0,9
421,421,Collapse,4.654585805710784e-06,9,0,9
422,422,lang,4.654585805710784e-06,9,0,9
423,423,newHtml,4.654585805710784e-06,9,0,9
424,424,template,4.654585805710784e-06,9,0,9
425,425,toHaveBeenCalledWith,4.654585805710784e-06,9,0,9
426,426,'normal',4.65458580571035e-06,9,0,9
427,427,'true',4.65458580571035e-06,9,0,9
428,428,FileRef,4.65458580571035e-06,9,0,9
429,429,'a nice desc',4.654585805710133e-06,9,0,9
430,430,'mouseover',4.654585805710133e-06,9,0,9
431,431,'rr',4.654585805710133e-06,9,0,9
432,432,'world',4.654585805710133e-06,9,0,9
433,433,answer,4.654585805710133e-06,9,0,9
434,434,for,4.654585805710133e-06,9,0,9
435,435,promiseMachine,4.654585805710133e-06,9,0,9
436,436,services,4.654585805710133e-06,9,0,9
437,437,stateOff,4.654585805710133e-06,9,0,9
438,438,'font',4.6545858057097e-06,9,0,9
439,439,'font/woff2',4.6545858057097e-06,9,0,9
440,440,'preload',4.6545858057097e-06,9,0,9
441,441,Element,4.6545858057097e-06,9,0,9
442,442,component,4.6545858057097e-06,9,0,9
443,443,crossorigin,4.6545858057097e-06,9,0,9
444,444,instanceof,4.6545858057097e-06,9,0,9
445,445,match,4.6545858057097e-06,9,0,9
446,446,secondTag,4.6545858057097e-06,9,0,9
447,447,"""canonical""",4.136938388462925e-06,8,0,8
448,448,getPaddingX,4.136938388462925e-06,8,0,8
449,449,b2,4.136938388462491e-06,8,0,8
450,450,MRPropTypes,4.136938388462274e-06,8,0,8
451,451,calledCount,4.136938388462274e-06,8,0,8
452,452,initialRes,4.136938388462274e-06,8,0,8
453,453,log,4.136938388462274e-06,8,0,8
454,454,nested,4.136938388462274e-06,8,0,8
455,455,originalPadding,4.136938388462274e-06,8,0,8
456,456,'link',4.1369383884618405e-06,8,0,8
457,457,args,4.1369383884618405e-06,8,0,8
458,458,console,4.1369383884618405e-06,8,0,8
459,459,delay,4.1369383884618405e-06,8,0,8
460,460,index,4.1369383884618405e-06,8,0,8
461,461,logs,4.1369383884618405e-06,8,0,8
462,462,noop,4.1369383884618405e-06,8,0,8
463,463,ref,4.1369383884618405e-06,8,0,8
464,464,toHaveSize,4.1369383884618405e-06,8,0,8
465,465,toThrow,4.1369383884618405e-06,8,0,8
466,466,"""action""",4.136938388461624e-06,8,0,8
467,467,'my-image',4.136938388461624e-06,8,0,8
468,468,Alert,4.136938388461624e-06,8,0,8
469,469,alertEl,4.136938388461624e-06,8,0,8
470,470,ascentOverride,4.136938388461624e-06,8,0,8
471,471,btnClose,4.136938388461624e-06,8,0,8
472,472,dataEl,4.136938388461624e-06,8,0,8
473,473,descentOverride,4.136938388461624e-06,8,0,8
474,474,evalInContext,4.136938388461624e-06,8,0,8
475,475,executed,4.136938388461624e-06,8,0,8
476,476,expectedCount,4.136938388461624e-06,8,0,8
477,477,filepath,4.136938388461624e-06,8,0,8
478,478,hello,4.136938388461624e-06,8,0,8
479,479,lineGapOverride,4.136938388461624e-06,8,0,8
480,480,sizeAdjust,4.136938388461624e-06,8,0,8
481,481,"""getAttribute""",4.13693838846119e-06,8,0,8
482,482,'TIMER',4.13693838846119e-06,8,0,8
483,483,'click',4.13693838846119e-06,8,0,8
484,484,300,4.13693838846119e-06,8,0,8
485,485,_,4.13693838846119e-06,8,0,8
486,486,cond,4.13693838846119e-06,8,0,8
487,487,interpreter,4.13693838846119e-06,8,0,8
488,488,isFlow,4.13693838846119e-06,8,0,8
489,489,redirect,4.13693838846119e-06,8,0,8
490,490,shallow,4.13693838846119e-06,8,0,8
491,491,Date,4.1369383884605395e-06,8,0,8
492,492,'child',4.1369383884605395e-06,8,0,8
493,493,Context,4.1369383884605395e-06,8,0,8
494,494,buffer,4.1369383884605395e-06,8,0,8
495,495,placement,4.1369383884605395e-06,8,0,8
496,496,slice,4.1369383884605395e-06,8,0,8
497,497,transitions,4.1369383884605395e-06,8,0,8
498,498,typeof,4.1369383884605395e-06,8,0,8
499,499,Data,3.6194089039875543e-06,7,0,7
500,500,DummyClass,3.6194089039875543e-06,7,0,7
501,501,toContainEqual,3.6194089039875543e-06,7,0,7
502,502,Child,3.6194089039869037e-06,7,0,7
503,503,_config,3.6194089039869037e-06,7,0,7
504,504,bodyTag,3.6194089039869037e-06,7,0,7
505,505,buildId,3.6194089039869037e-06,7,0,7
506,506,callback,3.6194089039869037e-06,7,0,7
507,507,contentEl,3.6194089039869037e-06,7,0,7
508,508,htmlTag,3.6194089039869037e-06,7,0,7
509,509,profileTriggerEl,3.6194089039869037e-06,7,0,7
510,510,schedule,3.6194089039869037e-06,7,0,7
511,511,warn,3.6194089039869037e-06,7,0,7
512,512,'aria-expanded',3.61940890398647e-06,7,0,7
513,513,'href',3.61940890398647e-06,7,0,7
514,514,404,3.61940890398647e-06,7,0,7
515,515,color,3.61940890398647e-06,7,0,7
516,516,myService,3.61940890398647e-06,7,0,7
517,517,onBecomeObserved,3.61940890398647e-06,7,0,7
518,518,onBecomeUnobserved,3.61940890398647e-06,7,0,7
519,519,payload,3.61940890398647e-06,7,0,7
520,520,"}=""true"">`",3.61940890398647e-06,7,0,7
521,521,"""text/css""",3.6194089039862532e-06,7,0,7
522,522,'content-type',3.6194089039862532e-06,7,0,7
523,523,'done.invoke.myService',3.6194089039862532e-06,7,0,7
524,524,devTools,3.6194089039862532e-06,7,0,7
525,525,isSerializableProps,3.6194089039862532e-06,7,0,7
526,526,root,3.6194089039862532e-06,7,0,7
527,527,v,3.6194089039862532e-06,7,0,7
528,528,wrapper,3.6194089039862532e-06,7,0,7
529,529,Promise,3.6194089039858195e-06,7,0,7
530,530,'</div>',3.6194089039858195e-06,7,0,7
531,531,'baz',3.6194089039858195e-06,7,0,7
532,532,btn,3.6194089039858195e-06,7,0,7
533,533,changedState,3.6194089039858195e-06,7,0,7
534,534,current,3.6194089039858195e-06,7,0,7
535,535,exportPath,3.6194089039858195e-06,7,0,7
536,536,homeHTML,3.6194089039858195e-06,7,0,7
537,537,idle,3.6194089039858195e-06,7,0,7
538,538,markdown,3.6194089039858195e-06,7,0,7
539,539,require,3.6194089039858195e-06,7,0,7
540,540,swipeEl,3.6194089039858195e-06,7,0,7
541,541,'    </div>',3.619408903985169e-06,7,0,7
542,542,'TO_TWO',3.619408903985169e-06,7,0,7
543,543,'document.documentElement.innerHTML',3.619408903985169e-06,7,0,7
544,544,'pizza',3.619408903985169e-06,7,0,7
545,545,'window.__TEST_NO_RELOAD',3.619408903985169e-06,7,0,7
546,546,DummyConfigClass,3.619408903985169e-06,7,0,7
547,547,ca,3.619408903985169e-06,7,0,7
548,548,divTest,3.619408903985169e-06,7,0,7
549,549,errorMachine,3.619408903985169e-06,7,0,7
550,550,exit,3.619408903985169e-06,7,0,7
551,551,fixtures,3.619408903985169e-06,7,0,7
